Year,Id,Id2,Geography,Location,Short_Name,Method,value,moe
2015,0400000US11,11001,District of Columbia,District of Columbia,District of Columbia,Public Transportation,36.9,1
2015,0500000US24031,24031,"Montgomery County, Maryland","Montgomery County, MD",Montgomery County,Public Transportation,52,1.6
2015,0500000US24033,24033,"Prince George's County, Maryland","Prince George's County, MD",Prince George's County,Public Transportation,54,1.7
2015,0500000US51013,51013,"Arlington County, Virginia","Arlington, VA",Arlington,Public Transportation,36.6,1.4
2015,0500000US51059,51059,"Fairfax County, Virginia","Fairfax County, VA",Fairfax County,Public Transportation,54.1,1.9
2015,0500000US51107,51107,"Loudoun County, Virginia","Loudoun County, VA",Loudoun County,Public Transportation,72,4.5
2015,0500000US51153,51153,"Prince William County, Virginia","Prince William County, VA",Prince William County,Public Transportation,65.6,3.8
2015,0500000US51510,51510,"Alexandria city, Virginia","Alexandria, VA",Alexandria,Public Transportation,46,3.1
2015,310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",D.C. Metro Area,D.C. Metro Area,Public Transportation,48.8,0.6
2015,0100000US,US,United States,United States,United States,Public Transportation,49.9,0.2
2016,0400000US11,11001,District of Columbia,District of Columbia,District of Columbia,Public Transportation,39.5,1
2016,0500000US24031,24031,"Montgomery County, Maryland","Montgomery County, MD",Montgomery County,Public Transportation,51.2,1.4
2016,0500000US24033,24033,"Prince George's County, Maryland","Prince George's County, MD",Prince George's County,Public Transportation,54.4,1.8
2016,0500000US51013,51013,"Arlington County, Virginia","Arlington, VA",Arlington,Public Transportation,36.5,1.6
2016,0500000US51059,51059,"Fairfax County, Virginia","Fairfax County, VA",Fairfax County,Public Transportation,55.1,2.2
2016,0500000US51107,51107,"Loudoun County, Virginia","Loudoun County, VA",Loudoun County,Public Transportation,76,4
2016,0500000US51153,51153,"Prince William County, Virginia","Prince William County, VA",Prince William County,Public Transportation,71.1,5.5
2016,0500000US51510,51510,"Alexandria city, Virginia","Alexandria, VA",Alexandria,Public Transportation,44.1,2.5
2016,310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",D.C. Metro Area,D.C. Metro Area,Public Transportation,49.2,0.7
2016,0100000US,US,United States,United States,United States,Public Transportation,50.1,0.2
